Context_Type,Base Part Number,On/Off Output Torque_In-Lbs.,On/Off Output Torque_Nm,On/Off Duty Cycle_54%,Cycles Per Hour_Cycles,Modulating Output Torque_In-Lbs.,Modulating Output Torque_Nm,Modulating Duty Cycle_54%,Starts Per Hour_Starts,Operating Speed (sec)_60 Hz,Operating Speed (sec)_50 Hz,Full Load Current (FLA) [A]_60 Hz,Full Load Current (FLA) [A]_50 Hz,Locked Rotor Current (LRA) [A]_60 Hz,Locked Rotor Current (LRA) [A]_50 Hz,Motor Power_Watts
110V Single Phase Power,761A00-11300000/A,700,80,40,36,580,65,40,960,17,20,1.2,1.1,1.4,1.3,15
110V Single Phase Power,761800-11300000/A,880,100,40,31,620,70,40,960,19,23,1.3,1.2,1.4,1.3,15
110V Single Phase Power,762A00-11300000/A,1330,150,50,42,1150,130,40,960,18,21,2.3,2.3,2.5,2.4,40
110V Single Phase Power,762800-11300000/A,1750,200,35,21,1330,150,40,960,25,30,2.3,2.3,2.5,2.4,40
110V Single Phase Power,763A00-11300000/A,2650,300,50,29,1950,220,40,960,25,31,2.6,2.5,2.9,3.0,90
110V Single Phase Power,763800-11300000/A,4400,500,30,16,3350,380,40,960,26,32,4.8,4.6,5.0,4.9,90
110V Single Phase Power,763000-11300000/A,4800,550,30,13,3540,400,40,960,33,39,4.8,4.6,5.0,4.9,90
110V Single Phase Power,764A00-11300000/A,6650,750,25,12,6020,680,35,840,30,36,6.5,6.5,7.3,7.4,180
110V Single Phase Power,764800-11300000/A,9700,1100,25,10,8230,930,35,840,36,43,6.8,6.8,7.3,7.4,180
110V Single Phase Power,765A00-11300000/A,17700,2000,25,4,15000,1700,35,840,88,106,6.8,6.8,7.4,7.4,180
110V Single Phase Power,765B00-11300000/A,26500,3000,25,3,22550,2550,35,840,108,130,7.0,7.0,7.3,7.4,180
