Context_Type,Base Part Number,On/Off Output Torque_In-Lbs.,On/Off Output Torque_Nm,On/Off Duty Cycle_S4%,Cycles per Hour_Cycles,Modulating Output Torque_In-Lbs.,Modulating Output Torque_Nm,Modulating Duty Cycle_S4%,Starts per Hour_Starts,Operating Speed (sec)_60 Hz,Operating Speed (sec)_50 Hz,Full Load Current (FLA) [A]_60 Hz,Full Load Current (FLA) [A]_50 Hz,Locked Rotor Current (LRA) [A]_60 Hz,Locked Rotor Current (LRA) [A]_50 Hz,Motor Power_Watts
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,761X30-11320000/A,690,80,40,190,550,65,40,960,20,23,0.6,0.6,0.7,0.7,15
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,761Y30-11320000/A,790,90,40,190,630,72,40,960,20,23,0.6,0.6,0.7,0.7,15
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,762X30-11320000/A,1350,150,35,180,1150,130,40,960,23,28,1.0,0.9,1.2,1.1,40
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,762Y30-11320000/A,1590,180,35,180,1270,145,40,960,23,28,1.1,1.0,1.2,1.1,40
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,763X30-11320000/A,2300,260,40,140,1900,220,40,960,26,31,1.3,1.3,1.4,1.5,90
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,763Y30-11320000/A,3980,450,30,170,3180,360,30,720,29,35,1.9,1.5,2.4,2.5,90
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,764X30-11320000/A,6900,800,30,140,5520,640,30,720,34,41,2.4,2.2,3.8,3.9,180
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,764Y30-11320000/A,8300,940,30,140,6640,750,30,720,34,41,3.4,3.3,3.8,3.9,180
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,765X30-11320000/A,17500,2000,30,50,14000,1600,30,720,93,112,2.4,2.2,3.8,3.9,180
EXPLOSIONPROOF - CSA, 220V - Single Phase Power,765Y30-11320000/A,25900,3000,30,50,20720,2400,30,720,93,112,3.4,3.3,3.8,3.9,180
